Project Name,Location,GDV,Stage,Developer,GFA,Type
Pavilion Damansara Heights Tower C,Damansara Heights, Kuala Lumpur,850000000,Tender,Pavilion Group Sdn Bhd,1250000,High-Rise
TRX Residences Block B,Tun Razak Exchange, Kuala Lumpur,620000000,Planning,Lendlease Malaysia Sdn Bhd,980000,High-Rise
Sunway Velocity Mall Extension,Cheras, Kuala Lumpur,320000000,Construction,Sunway Malls Sdn Bhd,450000,Commercial
Penang Industrial Hub Phase 3,Batu Kawan, Penang,175000000,Planning,Ideal Property Group,720000,Industrial
Setia Alam Affordable Housing PPR,Shah Alam, Selangor,95000000,Tender,SP Setia Berhad,880000,High-Rise
KLCC Corporate Tower,Kuala Lumpur City Centre, Kuala Lumpur,1200000000,Planning,KLCC Property Holdings,2100000,Commercial
Hospital Selayang Refurbishment,Selayang, Selangor,45000000,Construction,Kementerian Kesihatan Malaysia,310000,Renovation
Eco World Bukit Bintang City Centre Phase 2,Bukit Bintang, Kuala Lumpur,780000000,Tender,Eco World Development Group,1450000,High-Rise
Johor Bahru Waterfront Industrial Park,Johor Bahru, Johor,230000000,Planning,Iskandar Waterfront Holdings,950000,Industrial
Menara TM Extension,Bangsar, Kuala Lumpur,160000000,Tender,Telekom Malaysia Berhad,540000,Commercial
MRT3 Circle Line Station Package,Petaling Jaya, Selangor,420000000,Planning,Prasarana Malaysia Berhad,0,Infrastructure
Tropicana Aman Condominium Tower 4,Kota Kemuning, Selangor,285000000,Planning,Tropicana Corporation Berhad,680000,High-Rise
Penang International Airport Terminal Expansion,Bayan Lepas, Penang,560000000,Tender,Malaysia Airports Holdings Berhad,1800000,Infrastructure
Cyberjaya Data Centre Campus,Cyberjaya, Selangor,390000000,Construction,TIME dotCom Berhad,620000,Industrial
CIMB Bangsar South Office Fit-Out,Bangsar South, Kuala Lumpur,38000000,Construction,CIMB Group Holdings Berhad,185000,Commercial
Iskandar Malaysia Logistics Hub,Gelang Patah, Johor,210000000,Planning,Mapletree Investments,1100000,Industrial
Subang Jaya Medical Centre New Wing,Subang Jaya, Selangor,125000000,Tender,Sime Darby Health,270000,Commercial
Four Seasons Place Residences Tower 2,KLCC, Kuala Lumpur,950000000,Construction,Venus Assets Sdn Bhd,760000,High-Rise
Kota Kinabalu Waterfront Mixed Development,Kota Kinabalu, Sabah,310000000,Planning,Hap Seng Land,890000,Commercial
Putrajaya Federal Government Complex Block 9,Putrajaya, Wilayah Persekutuan,88000000,Tender,Jabatan Kerja Raya Malaysia,420000,Commercial
